title,abstract,year,authors,doi,source_db
"Attachment security and support-seeking in married couples","In a sample of 120 married couples, attachment was measured with the ECR and perceived partner support with the SPS. More securely attached partners sought and received more responsive support.",2018,"Mikulincer, M.; Shaver, P. R.",10.1111/jopy.1001,PsycINFO
"Parent-child attachment and adolescent wellbeing","A longitudinal study of 300 adolescents examining how parent-child attachment predicts later emotional wellbeing. Romantic relationships were not assessed.",2015,"Smith, J.; Doe, A.",10.1037/dev.2002,PubMed
"Adult attachment orientations and spousal support provision","Observational study of 88 couples coding support provision during a discussion task. Attachment orientation (ECR-R) predicted the quality of support provided to the spouse.",2009,"Feeney, B. C.",10.1037/spr.2003,PsycINFO
"Social support and cardiac recovery in cardiac patients","Prospective cohort of cardiac patients testing whether perceived social support predicts recovery. Attachment was not measured.",2012,"Jones, K.; Patel, R.",10.1016/cardio.2004,PubMed
"Caregiving and attachment in romantic dyads","Brief report. Couples sample; caregiving and attachment assessed.",2020,"Feeney, J. A.",10.1080/short.2005,Scopus
"A narrative review of attachment theory in close relationships","This review synthesises four decades of attachment theory as it applies to adult romantic bonds. No new empirical data are presented.",2016,"Cassidy, J.",10.1111/review.2006,Web of Science
"Daily diary study of attachment and perceived partner support in newlyweds","73 newlywed couples completed a 21-day diary. Attachment anxiety (ECR) moderated daily associations between received partner support and mood.",2005,"Laurenceau, J.-P.; Barrett, L. F.",10.1037/diary.2007,PsycINFO
"Attachment styles and workplace mentoring support","Survey of 210 employees on attachment style and support received from workplace mentors. Participants were not assessed in romantic relationships.",2014,"Brown, T.; Green, S.",10.1002/work.2008,Scopus
"Anxious attachment and support receipt in cohabiting couples","Cross-sectional study of 145 cohabiting couples. Attachment anxiety (ECR) was associated with less effective support receipt, measured by the Social Support Behavior Code.",2013,"Collins, N. L.; Feeney, B. C.",10.1037/cohab.2009,PsycINFO
"Support transactions in close relationships","Diary study of support exchanges in close relationships. Outcomes focused on emotional reactions to support.",2011,"Bolger, N.; Amarel, D.",10.1037/trans.2010,PubMed
"Attachment avoidance and relationship satisfaction","Study of 200 dating individuals linking attachment avoidance (ECR) to lower relationship satisfaction. Social support was not measured.",2017,"Simpson, J. A.",10.1111/sat.2011,Web of Science
"Working models of attachment and reactions to partner caregiving","Experimental study of 64 couples examining how working models of attachment shape reactions to receiving caregiving from a romantic partner. Support and attachment both assessed.",2007,"Collins, N. L.; Ford, M. B.",10.1037/care.2012,PsycINFO
